orbit1 orbit2 r3 r2 r1 tau DenDen error
1 1 0 2 0 12 1.00108823 0.00231343
1 1 0 2 0 13 1.00086070 0.00235204
1 1 0 2 0 14 1.00081064 0.00222947
1 1 0 2 0 15 1.00042204 0.00271083
1 1 0 2 0 16 1.00051602 0.00245086
1 1 0 2 0 17 1.00108620 0.00222493
1 1 0 2 0 18 1.00056307 0.00258804
1 1 0 2 0 19 1.00122502 0.00264475
1 1 0 2 0 20 0.99946838 0.00260167
1 1 0 2 1 0 0.99850803 0.00231712
1 1 0 2 1 1 0.99896451 0.00261812
1 1 0 2 1 2 0.99963474 0.00244809
1 1 0 2 1 3 0.99906258 0.00235883
1 1 0 2 1 4 0.99859992 0.00266482
1 1 0 2 1 5 0.99836016 0.00229060
1 1 0 2 1 6 0.99850137 0.00269736
1 1 0 2 1 7 0.99929330 0.00245767
1 1 0 2 1 8 0.99963869 0.00262059
1 1 0 2 1 9 0.99900967 0.00255987
1 1 0 2 1 10 0.99947911 0.00256357
1 1 0 2 1 11 0.99956322 0.00244603
1 1 0 2 1 12 0.99909070 0.00235522
1 1 0 2 1 13 0.99886760 0.00252415
1 1 0 2 1 14 0.99928389 0.00242132
1 1 0 2 1 15 0.99906296 0.00270025
1 1 0 2 1 16 0.99916867 0.00251983
1 1 0 2 1 17 0.99869657 0.00262840
1 1 0 2 1 18 0.99814886 0.00251532
1 1 0 2 1 19 0.99847808 0.00250481
1 1 0 2 1 20 0.99850803 0.00231712
1 1 0 2 2 0 0.99991458 0.00214309
1 1 0 2 2 1 1.00051473 0.00247874
1 1 0 2 2 2 1.00024751 0.00224267
1 1 0 2 2 3 1.00023613 0.00239600
1 1 0 2 2 4 1.00008891 0.00258263
1 1 0 2 2 5 0.99996683 0.00260699
1 1 0 2 2 6 1.00010937 0.00245105
1 1 0 2 2 7 0.99967424 0.00233204
1 1 0 2 2 8 0.99984408 0.00230092
1 1 0 2 2 9 1.00061176 0.00228388
1 1 0 2 2 10 0.99964298 0.00240612
1 1 0 2 2 11 0.99921173 0.00254511
1 1 0 2 2 12 0.99956582 0.00229670
1 1 0 2 2 13 0.99943617 0.00208743
1 1 0 2 2 14 0.99977440 0.00238900
1 1 0 2 2 15 0.99958787 0.00231738
1 1 0 2 2 16 1.00005124 0.00236985
1 1 0 2 2 17 1.00038135 0.00246210
1 1 0 2 2 18 0.99915158 0.00222841
1 1 0 2 2 19 0.99970904 0.00239352
1 1 0 2 2 20 0.99991458 0.00214309
1 1 0 2 3 0 0.99995378 0.00213938
1 1 0 2 3 1 0.99998967 0.00193142
1 1 0 2 3 2 1.00008663 0.00187866
1 1 0 2 3 3 1.00032915 0.00197574
1 1 0 2 3 4 1.00035753 0.00225721
1 1 0 2 3 5 1.00122686 0.00244986
1 1 0 2 3 6 0.99942452 0.00216057
1 1 0 2 3 7 1.00017278 0.00229286
